company_name,report_url,year
A. P. Møller-Mærsk A/S,https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2021/maersk-sustainability-report_2021.pdf,2021
AAK AB,https://www.aak.com/reports/sustainability_report_2021/mobile/index.html,2021
AB Electrolux,https://www.electroluxgroup.com/sustainabilityreports/2021/files/downloads/Electrolux_Sustainability_Report_2021.pdf,2021
AB SKF,https://investors.skf.com/sites/default/files/pr/202103032688-1.pdf,2020
AB Volvo,https://www.volvogroup.com/content/dam/volvo-group/markets/master/investors/reports-and-presentations/annual-reports/annual-and-sustainability-report-2021.pdf,2021
ABB,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108466A8054&LanguageCode=en&DocumentPartId=&Action=Launch&_ga=2.64225007.1333855981.1664005744-864570225.1664005744,2021
AbbVie,https://www.abbvie.com/content/dam/abbvie-dotcom/uploads/PDFs/societal-impact/abbvie-esg-action-report.pdf,2021
Accenture PLC,https://www.accenture.com/content/dam/accenture/final/a-com-migration/pdf/pdf-168/accenture-united-nations-global-compact-communication-on-progress-2021.pdf#zoom=40,2021
Accor S.A.,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,2021
ADIENT plc,https://investors.adient.com/~/media/Files/A/Adient-IR/goverance-docs/adient-sustainability-report-2021.pdf,2021
Adobe,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2021.pdf,2021
AENA S.M.E. S.A.,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576859902814&ssbinary=true,2021
AFRY (ÅF Pöyry),https://afry.com/sites/default/files/2022-04/Annual%20and%20Sustainability%20Report%202021.pdf,2021
"Agilent Technologies, Inc",https://www.agilent.com/about/esg/en/2021-agilent-esg-report.pdf,2021
"Ajinomoto Co., Inc.",https://www.ajinomoto.co.jp/company/en/ir/library/databook/main/09/teaserItems1/0/linkList/00/link/SDB2022_appendix_env_en_220630-2.pdf,2021
AkzoNobel,https://report.akzonobel.com/2021/ar/servicepages/downloads/files/entire-akzonobel-ar21.pdf,2021
Alfa Laval,https://www.alfalaval.com/globalassets/documents/investors/english/annual-reports/2022/alfa-laval-annual-report-2021.pdf,2021
Ambev S.A.,https://api.mziq.com/mzfilemanager/v2/d/c8182463-4b7e-408c-9d0f-42797662435e/075f25d0-fbed-705a-f73d-0047254b4cc6?origin=1,2021
Ambuja Cements Limited,https://www.ambujacement.com/Upload/Content_Files/annual-reports/Ambuja-Cement-AR-2021_Final.pdf,2021
América Móvil S.A.B. de C.V.,https://s22.q4cdn.com/604986553/files/doc_downloads/2022/07/AM-2021-SUSTAINABILITY-REPORT-(AI).pdf,2021
"American Axle & Manufacturing, Inc.",https://www.aam.com/docs/default-source/esg-policies/reports/aam-2021-esg-report-master.pdf,2021
American Eagle Outfitters,https://s7d2.scene7.com/is/content/aeo/Help/2021_AEO_ESG_Report.pdf,2021
"Analog Devices, Inc.",https://www.analog.com/media/en/company-csr/2021-esg-report.pdf,2021
"Apple, Inc.",https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2022.pdf,2021
Applied Materials,https://www.appliedmaterials.com/content/dam/site/company/csr/doc/2021_Sustainability_Annex_F.pdf.coredownload.inline.pdf,2021
Aramark,https://www.aramark.com/content/dam/aramark/en/environmental-social-governance/reporting/Aramark-2021-Impact-Report.pdf,2021
Arcadis NV,https://media.arcadis.com/-/media/project/arcadiscom/com/about-arcadis/global/sustainability/non-financial-reporting/cdp/arcadis-cdp-climate-change-questionnaire-2022.pdf?rev=8d3af9decf51499db4a51a0102abc70a,2021
Asahi Group Holdings,https://www.asahigroup-holdings.com/sustainability/pdf/databook/databook_en.pdf,2021
Ashland LLC,https://cdn.mediavalet.com/usva/media/0HiMoZkDk0qftzOnUUWd-A/kjDTqaTrkUa7R5YyetJMYA/Original/Ashland%20ESG%20Report%20FY21.pdf,2021
ASICS Corporation,https://assets.asics.com/system/libraries/890/ASICS_sustainability%20report_2021_online.pdf?_ga=2.125942602.639522797.1657817008-436367670.1657817008,2021
ASKUL Corporation,https://s3-ap-northeast-1.amazonaws.com/sustainability-cms-askul-s3/csr/data/pdf/esg_data.pdf,2021
Assa Abloy AB,https://www.assaabloy.com/assaabloy-com/group/market-documents/sustainability/sustainability-reports/Sustainability%20Report%202021.pdf,2021
AstraZeneca,https://www.astrazeneca.com/content/dam/az/Sustainability/2022/pdf/Sustainability_Data_Summary_2021.pdf,2021
